Complaint_Text,Category,Sentiment,Priority,Village,Date,Pincode,lang,Standardized_Complaint
Streetlights are not working at the chowk.,Others,Negative,Low,Morgaon,2025-07-09,413304,en,streetlights not working
गावात नाल्यांची स्वच्छता होत नाही.,Sanitation,Negative,Medium,Morgaon,2024-06-21,413304,mr,drainage problem
Emergency ambulance did not arrive on time.,Health,Negative,Medium,Someshwar,2024-08-27,412306,en,ambulance not arrived
Medicines are not available at PHC.,Health,Negative,Medium,Nimbut,2025-08-30,413110,en,medicines not available
Playground is not maintained properly.,Others,Negative,Low,Nimbut,2024-08-14,413110,en,playground not maintained
गावात आरोग्य शिबीराची गरज आहे.,Health,Neutral,Medium,Supa,2025-05-25,413109,mr,health camp needed
Emergency ambulance did not arrive on time.,Health,Negative,High,Pandare,2024-01-20,413103,en,ambulance not arrived
पाण्याचा टँकर आला नाही 3 दिवसांपासून.,Water,Negative,High,Malegaon,2024-10-02,413115,mr,water tanker not arrived
Electric transformer is not working in Bhigwan.,Electricity,Negative,High,Nimbut,2024-01-02,413110,en,transformer not working
गावात वीज पुरवठा खंडित झाला आहे.,Electricity,Negative,High,Baramati,2024-07-31,413102,mr,electricity supply disrupted
Streetlights are not working at the chowk.,Others,Negative,Low,Katphal,2024-02-05,413111,en,streetlights not working
Library in village remains closed.,Others,Negative,Low,Baramati,2025-08-31,413102,en,other_issue
"वीज खूप वेळा जाते, अभ्यासात अडचण येते.",Electricity,Negative,High,Baramati,2025-08-03,413102,mr,frequent power cuts
पाण्याचा टँकर आला नाही 9 दिवसांपासून.,Water,Negative,High,Someshwar,2024-01-08,412306,mr,water tanker not arrived
No doctor available at PHC.,Health,Negative,Medium,Pandare,2024-09-09,413103,en,doctor not available
No electricity for 5 hours continuously.,Electricity,Negative,High,Supa,2025-05-06,413109,en,prolonged power cut
Village road is damaged due to rain.,Road,Negative,Low,Supa,2025-05-30,413109,en,road potholes
गावात नवीन रस्ता बनवणे आवश्यक आहे.,Road,Neutral,Low,Supa,2024-11-05,413109,mr,new road required
पंचायत कार्यालयात कोणी उपलब्ध नाही.,Others,Negative,Low,Nimbut,2024-11-27,413110,mr,other_issue
Dustbins are overflowing everywhere.,Sanitation,Negative,Medium,Someshwar,2024-06-21,412306,en,garbage not collected
"Handpump is broken, villagers are suffering.",Water,Negative,High,Someshwar,2025-05-30,412306,en,handpump broken
Road construction is pending for months.,Road,Negative,Low,Nimbut,2025-01-19,413110,en,road work pending
गावातील शाळेत शिक्षक नाहीत.,Others,Negative,Low,Pandare,2024-04-21,413103,mr,teachers not available
Village health worker is absent since 4 days.,Health,Negative,Medium,Pandare,2025-08-14,413103,en,health worker absent
गावात पिण्याच्या पाण्याची समस्या आहे.,Water,Negative,High,Katphal,2025-01-07,413111,mr,drinking water problem
पंचायत कार्यालयात कोणी उपलब्ध नाही.,Others,Negative,Low,Supa,2024-09-30,413109,mr,other_issue
Electric transformer is not working in Bhigwan.,Electricity,Negative,High,Morgaon,2024-12-13,413304,en,transformer not working
No water supply in the village since 6 days.,Water,Negative,High,Nimbut,2024-11-29,413110,en,no water supply
Drinking water tank is empty.,Water,Negative,High,Malegaon,2024-08-05,413115,en,water tank empty
Medicines are not available at PHC.,Health,Negative,High,Supa,2024-12-16,413109,en,medicines not available
Frequent power cuts in the evening.,Electricity,Negative,High,Katphal,2024-01-23,413111,en,frequent power cuts
Garbage is not collected regularly in Loni.,Sanitation,Negative,Medium,Pandare,2024-09-22,413103,en,garbage not collected
Dustbins are overflowing everywhere.,Sanitation,Negative,Medium,Malegaon,2025-07-10,413115,en,garbage not collected
पंचायत कार्यालयात कोणी उपलब्ध नाही.,Others,Negative,Low,Someshwar,2025-07-28,412306,mr,other_issue
गावातील शाळेत शिक्षक नाहीत.,Others,Negative,Low,Morgaon,2025-01-14,413304,mr,teachers not available
Drainage water is overflowing on the streets.,Sanitation,Negative,Medium,Katphal,2025-05-25,413111,en,drainage problem
No electricity for 9 hours continuously.,Electricity,Negative,High,Pandare,2025-04-12,413103,en,prolonged power cut
Medicines are not available at PHC.,Health,Negative,High,Nimbut,2025-09-13,413110,en,medicines not available
गावात नाल्यांची स्वच्छता होत नाही.,Sanitation,Negative,Medium,Morgaon,2025-04-21,413304,mr,drainage problem
"वीज खूप वेळा जाते, अभ्यासात अडचण येते.",Electricity,Negative,High,Baramati,2025-01-09,413102,mr,frequent power cuts
Garbage is not collected regularly in Jejuri.,Sanitation,Negative,Medium,Supa,2025-03-16,413109,en,garbage not collected
Medicines are not available at PHC.,Health,Negative,Medium,Nimbut,2024-12-14,413110,en,medicines not available
Dustbins are overflowing everywhere.,Sanitation,Negative,Medium,Pandare,2025-02-21,413103,en,garbage not collected
Garbage is not collected regularly in Pandharpur.,Sanitation,Negative,Medium,Supa,2025-01-18,413109,en,garbage not collected
Village health worker is absent since 6 days.,Health,Negative,Medium,Nimbut,2024-01-22,413110,en,health worker absent
गावात कचरा उचलला जात नाही.,Sanitation,Negative,Medium,Katphal,2024-04-24,413111,mr,garbage not collected
Emergency ambulance did not arrive on time.,Health,Negative,High,Malegaon,2025-05-11,413115,en,ambulance not arrived
Village road is damaged due to rain.,Road,Negative,Low,Someshwar,2024-08-14,412306,en,road potholes
Streetlights are not working at the chowk.,Others,Negative,Low,Malegaon,2024-02-19,413115,en,streetlights not working
Road construction is pending for months.,Road,Negative,Low,Katphal,2024-08-13,413111,en,road work pending
Library in village remains closed.,Others,Negative,Low,Supa,2024-06-15,413109,en,other_issue
Garbage is not collected regularly in Morgaon.,Sanitation,Negative,Medium,Pandare,2025-07-16,413103,en,garbage not collected
Village health worker is absent since 10 days.,Health,Negative,Medium,Morgaon,2024-08-20,413304,en,health worker absent
Village health worker is absent since 5 days.,Health,Negative,High,Baramati,2024-03-12,413102,en,health worker absent
Library in village remains closed.,Others,Negative,Low,Morgaon,2024-09-27,413304,en,other_issue
रस्त्यावर मोठे खड्डे पडले आहेत.,Road,Negative,Low,Someshwar,2024-05-20,412306,mr,other_issue
Drinking water tank is empty.,Water,Negative,High,Katphal,2025-08-09,413111,en,water tank empty
The road from Malegaon to nearby town is full of potholes.,Road,Negative,Low,Supa,2024-12-24,413109,en,road potholes
पंचायत कार्यालयात कोणी उपलब्ध नाही.,Others,Negative,Low,Malegaon,2025-06-08,413115,mr,other_issue
Drainage water is overflowing on the streets.,Sanitation,Negative,Medium,Pandare,2024-02-23,413103,en,drainage problem
Drinking water tank is empty.,Water,Negative,High,Katphal,2024-09-01,413111,en,water tank empty
Streetlights are not working at the chowk.,Others,Negative,Low,Baramati,2024-05-16,413102,en,streetlights not working
Medicines are not available at PHC.,Health,Negative,High,Katphal,2024-05-06,413111,en,medicines not available
रस्त्यावर मोठे खड्डे पडले आहेत.,Road,Negative,Low,Malegaon,2024-07-03,413115,mr,other_issue
गावात नाल्यांची स्वच्छता होत नाही.,Sanitation,Negative,Medium,Baramati,2024-07-15,413102,mr,drainage problem
गावात नाल्यांची स्वच्छता होत नाही.,Sanitation,Negative,Medium,Pandare,2025-01-06,413103,mr,drainage problem
गावात आरोग्य शिबीराची गरज आहे.,Health,Neutral,Medium,Malegaon,2024-12-28,413115,mr,health camp needed
गावातील शाळेत शिक्षक नाहीत.,Others,Negative,Low,Katphal,2024-08-25,413111,mr,teachers not available
Drinking water tank is empty.,Water,Negative,High,Someshwar,2024-09-19,412306,en,water tank empty
Emergency ambulance did not arrive on time.,Health,Negative,Medium,Malegaon,2025-02-25,413115,en,ambulance not arrived
गावात आरोग्य शिबीराची गरज आहे.,Health,Neutral,Medium,Morgaon,2024-08-28,413304,mr,health camp needed
Village health worker is absent since 7 days.,Health,Negative,Medium,Nimbut,2025-09-03,413110,en,health worker absent
गावात पिण्याच्या पाण्याची समस्या आहे.,Water,Negative,High,Supa,2024-01-30,413109,mr,drinking water problem
गावात आरोग्य शिबीराची गरज आहे.,Health,Neutral,High,Supa,2025-02-09,413109,mr,health camp needed
पाण्याचा टँकर आला नाही 6 दिवसांपासून.,Water,Negative,High,Baramati,2025-05-01,413102,mr,water tanker not arrived
गावात वीज पुरवठा खंडित झाला आहे.,Electricity,Negative,High,Pandare,2024-06-16,413103,mr,electricity supply disrupted
Drinking water tank is empty.,Water,Negative,High,Someshwar,2024-04-27,412306,en,water tank empty
गावात पिण्याच्या पाण्याची समस्या आहे.,Water,Negative,High,Pandare,2024-02-05,413103,mr,drinking water problem
Village road is damaged due to rain.,Road,Negative,Low,Morgaon,2024-09-22,413304,en,road potholes
Dustbins are overflowing everywhere.,Sanitation,Negative,Medium,Nimbut,2024-12-17,413110,en,garbage not collected
गावात नाल्यांची स्वच्छता होत नाही.,Sanitation,Negative,Medium,Morgaon,2025-01-06,413304,mr,drainage problem
Village health worker is absent since 6 days.,Health,Negative,Medium,Katphal,2024-10-21,413111,en,health worker absent
गावात पिण्याच्या पाण्याची समस्या आहे.,Water,Negative,High,Nimbut,2025-04-27,413110,mr,drinking water problem
Streetlights are not working at the chowk.,Others,Negative,Low,Someshwar,2025-01-31,412306,en,streetlights not working
"वीज खूप वेळा जाते, अभ्यासात अडचण येते.",Electricity,Negative,High,Pandare,2025-03-13,413103,mr,frequent power cuts
गावात नवीन रस्ता बनवणे आवश्यक आहे.,Road,Neutral,Low,Supa,2024-04-22,413109,mr,new road required
Library in village remains closed.,Others,Negative,Low,Katphal,2024-01-01,413111,en,other_issue
गावात कचरा उचलला जात नाही.,Sanitation,Negative,Medium,Nimbut,2024-09-12,413110,mr,garbage not collected
